station_name,gage_id,lat,lon,upstream_gage_mainline,upstream_gage_trib,upstream_gage
"Gibbon River at Madison Jct, YNP",06037100,44.6408,-110.8610639,06036940,06036940,06036940
"Goose Creek near Acme, WY",06305700,44.88631458,-106.9890182,,06303500,06303500
"Grand River near Fountain Grove, MO",06900800,39.6922222,-93.3252778,06896900,06899900,06896900
"Grand River near Gallatin, MO",06897500,39.9269517,-93.9427225,06896900,06896400,06896900
"Grand River near Pattonsburg, MO",06896900,40.0261111,-94.1272222,,06896400,06896400
"Grand River near Sumner, MO",06902000,39.64002778,-93.2736944,06896900,06899900,06896900
"HACKBERRY C NR TREGO CENTER, KS",06860900,38.83950556,-100.0585139,,,
"HARVARD GULCH AT COLORADO BLVD. AT DENVER, CO",06711570,39.66920278,-104.9425083,,,
"HARVARD GULCH AT HARVARD PARK AT DENVER, CO",06711575,39.67172222,-104.97702778,06711570,06711570,06711570
"HAT CREEK NEAR EDGEMONT,SD",06400000,43.2399736,-103.5882519,,,
"HAVANA INTERCEPT BL 56TH AV, AT ROCKY MTN ARS, CO",06720285,39.80109764,-104.8644203,,,
"HAY CREEK AT MAIN AVENUE AT BISMARCK, ND",06349600,46.80717809,-100.734102,,,
"HEART R AB LAKE TSCHIDA NR GLEN ULLIN, ND",06345780,46.6569506,-102.0793279,06343000,06343000,06343000
"HEART RIVER AT STARK BRIDGE NEAR JUDSON, ND",06348300,46.7033333,-101.2136111,06343000,06343000,06343000
"HEART RIVER NR MANDAN, ND",06349000,46.8338827,-100.9745789,06343000,06343000,06343000
"HEART RIVER NR RICHARDTON, ND",06345500,46.74555556,-102.3083333,06343000,06343000,06343000
"HEART RIVER NR SOUTH HEART, ND",06343000,46.86556675,-102.9485116,,,
"HELL CREEK ABV NF NORTH PLATTE RIVER NR WALDEN, CO",06613950,40.7327222,-106.4250444,,,
"HIGHLINE DITCH NEAR DAYTON, WY",06297500,44.85305556,-107.3047222,,,
"HORSE CR ABOVE VALE,SD",06436760,44.65265259,-103.366697,,,
"HORSEHEAD CREEK AT OELRICHS,SD",06400875,43.18803166,-103.2265866,,,
"HUNDRED AND TEN MILE C NR QUENEMO, KS",06912500,38.6450089,-95.5597037,,06911900,06911900
"Haines Branch at SW 56th St at Lincoln, Nebr.",06803093,40.76745,-96.79671944,,,
Hanging Woman Creek near Birney MT,06307600,45.29906389,-106.5081667,,,
